,economy,microsoft,obama,palestine,Others,Top_1%,Top_20%,Top_5%,SentimentHeadline,SentimentTitle,Publish_weekday,Face_pop_rank,LinkedIn_pop_rank
0,1,0,0,0,0,1,0,0,-0.37892704249222,-0.0559021431000154,6,0,0
1,1,0,0,0,0,1,0,0,0.118766335006676,0.108253175473055,0,0,1
2,0,1,0,0,0,1,0,0,0.0553686743941614,-0.0416666666666667,0,1,0
3,0,1,0,0,0,1,0,0,0.10363923711731099,0.0355950892904306,1,0,1
4,0,1,0,0,0,1,0,0,-0.29427083333333304,-0.0461165492107888,1,0,0
5,0,1,0,0,0,1,0,0,-0.128274420377084,0.0999357794364666,2,0,1
6,0,1,0,0,0,1,0,0,-0.12475,-0.0491140798741087,2,0,1
7,0,1,0,0,0,1,0,0,-0.167705098312484,0.10947416139842699,2,0,1
8,0,1,0,0,0,1,0,0,-0.23053916998891297,0.0395284707521047,2,0,1
9,1,0,0,0,0,1,0,0,-0.0951473065735035,-0.0790569415042095,2,0,1
10,0,1,0,0,0,1,0,0,0.0870446897704931,0.0669787976632887,4,0,0
11,0,1,0,0,0,1,0,0,-0.11256325560762999,-0.0472455591261534,4,0,1
12,0,1,0,0,0,1,0,0,0.0912870929175277,0.0,4,0,1
13,1,0,0,0,0,1,0,0,-0.0183177917889483,-0.122685185185185,0,0,1
14,0,1,0,0,0,1,0,0,0.14433756729740602,0.0721687836487032,0,0,1
15,1,0,0,0,0,1,0,0,-0.309496373242894,0.23189153758324602,0,0,1
16,0,1,0,0,0,1,0,0,0.0430574368848606,0.0815972222222223,1,0,1
17,0,1,0,0,0,1,0,0,0.221856377875071,0.16009030654602402,1,0,1
18,1,0,0,0,0,1,0,0,-0.0352430555555555,0.0947036278435844,1,0,0
19,0,1,0,0,0,1,0,0,-0.36321492327047494,-0.0883883476483184,1,0,0
20,0,1,0,0,0,1,0,0,0.0233709905755637,-0.21435572153575397,1,0,1
21,0,1,0,0,0,1,0,0,0.143361111111111,0.10364452469860601,2,0,1
22,1,0,0,0,0,1,0,0,-0.078192905271403,-0.11458333333333301,2,0,1
